"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"86","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-11-01,21197698.68,311172.852,510651.538,68.122,41.511,21.753,81.375
"87","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2022-12-01,34635715.85,500767.35,832842.256,69.165,41.587,34.306,82.566
"88","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-01-01,32324077.98,457416.433,769929.591,70.667,41.983,26.277,81.345
"89","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-02-01,17871292.27,247177.561,417510.872,72.301,42.804,17.052,80.497
"90","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-03-01,21468150.05,297630.249,509641.437,72.13,42.124,20.093,81.586
"91","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-04-01,25174304.08,349054.408,610070.512,72.121,41.265,23.446,81.95
"92","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-05-01,26236218.16,358702.355,617839.836,73.142,42.464,19.98,81.964
"93","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-06-01,24681327.74,339781.586,583520.988,72.639,42.297,22.6,82.429
"94","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-07-01,28948327.43,399339.322,670248.622,72.491,43.19,26.935,80.752
"95","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-08-01,27981855.01,385665.088,650836.133,72.555,42.994,26.721,76.996
"96","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-09-01,24061186.28,323114.001,577334.377,74.467,41.676,22.401,77.298
"97","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-10-01,22772241.84,303279.62,535928.405,75.087,42.491,17.68,76.147
"98","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-11-01,22141828.01,286481.525,502653.485,77.289,44.05,20.125,76.16
"99","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2023-12-01,38562922.08,503588.243,865659.941,76.576,44.547,34.308,76.773
"100","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-01-01,33746358.45,433323.68,759971.791,77.878,44.405,24.617,75.919
"101","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-02-01,20418917.71,251063.748,451134.45,81.33,45.261,16.992,76.671
"102","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-03-01,22865752.21,278296.007,493397.5,82.163,46.343,18.948,76.098
"103","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-04-01,25874984.24,307566.955,557818.693,84.128,46.386,17.385,77.098
"104","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-05-01,26483026.3,311514.035,550048.633,85.014,48.147,21.119,76.831
"105","Autoservicios Total Mexico_MT","MULTI-PACK","COLA",2024-06-01,24159624.07,283924.71,495518.61,85.092,48.756,19.492,76.751
