"","Markets","M.PRESENTACION","Tipo","Periodo","ventasValor","ventasEQ2","ventasUnds","precioEQ2","precioUnds","ratioVentas","distNum"
"78","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-03-01,1278908.37,15688.921,29706.785,81.517,43.051,7.54,64.337
"79","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-04-01,1967989.602,24324.428,46040.878,80.906,42.744,11.169,66.757
"80","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-05-01,2401425.777,29687.197,56192.427,80.891,42.736,10.918,68.424
"81","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-06-01,2644362.795,32917.417,62549.728,80.333,42.276,13.909,71.568
"82","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-07-01,3580297.79,44864.466,86108.127,79.803,41.579,17.949,70.113
"83","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-08-01,3679589.164,45513.491,88512.922,80.846,41.571,14.928,75.073
"84","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-09-01,3584699.347,44129.069,85836.616,81.232,41.762,16.834,76.58
"85","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-10-01,3750470.125,46994.937,91788.225,79.806,40.86,17.737,79.939
"86","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-11-01,3532449.997,43907.868,86682.682,80.451,40.752,16.073,81.203
"87","Autoservicios Area 1_MT","MULTI-PACK","COLA",2022-12-01,6846993.259,85488.39,167281.697,80.093,40.931,30.378,85.376
"88","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-01-01,6939547.708,86603.302,169711.954,80.13,40.89,25.779,84.255
"89","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-02-01,3166199.552,38946.145,77334.383,81.297,40.942,13.952,82.825
"90","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-03-01,3752140.366,46783.018,93299.723,80.203,40.216,16.421,83.503
"91","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-04-01,5284455.842,65814.279,130344.376,80.293,40.542,22.916,83.929
"92","Autoservicios Area 1_MT","MULTI-PACK","COLA",2023-05-01,5224450.243,62719.938,124235.344,83.298,42.053,17.99,84.297
